@Relation art_testing.arff

@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE win {-1,1}

@DATA
0.792,-0.694,0.904,-0.132,0.506,-1
-0.613,-0.386,0.305,-0.473,-0.062,1
-0.262,-0.801,0.222,0.759,0.643,1
-0.373,0.67,-0.565,-0.639,-0.393,1
0.84,-0.884,-0.743,-0.138,0.195,1
0.604,-0.514,-0.518,-0.397,0.617,-1
0.55,0.366,0.815,0.042,0.347,-1
-0.098,-0.489,-0.083,0.308,-0.64,1
-0.071,0.97,0.372,-0.183,-0.94,1
0.548,0.399,-0.202,0.341,-0.03,1
0.373,-0.237,-0.488,-0.294,0.652,-1
-0.094,-0.803,-0.295,-0.147,0.4,1
-0.719,0.303,-0.924,0.323,-0.94,1
0.699,0.182,0.002,0.863,0.53,1
0.203,0.178,0.322,-0.841,0.528,-1
-0.227,-0.211,0.893,-0.303,-0.869,1
0.488,0.328,0.91,0.605,0.516,-1
0.526,0.791,-0.153,-0.985,-0.039,1
-0.076,-0.593,-0.759,-0.28,-0.103,1
-0.238,-0.787,-0.562,0.677,0.509,1
0.026,0.12,-0.587,-0.179,-0.432,1
0.636,0.016,-0.665,0.366,-0.731,1
-0.491,-0.115,0.454,0.942,0.972,1
0.34,0.991,0.714,-0.07,0.513,1
-0.643,0.919,-0.587,-0.982,0.964,-1
-0.924,-0.347,-0.752,-0.059,0.094,1
0.597,-0.865,-0.207,0.087,-0.931,1
0.092,-0.211,0.515,-0.449,-0.372,1
-0.974,0.413,-0.697,0.243,-0.662,1
0.893,0.663,0.607,-0.125,-0.166,1
0.36,-0.932,0.341,0.99,-0.217,1
-0.165,-0.843,0.117,0.505,0.068,1
-0.255,-0.738,-0.436,-0.138,-0.017,1
0.942,-0.193,-0.658,0.626,-0.721,1
0.257,-0.012,0.596,-0.855,0.052,-1
-0.104,0.018,-0.972,0.597,-0.177,1
0.572,-0.622,-0.364,0.324,-0.61,1
-0.099,0.187,0.21,-0.393,-0.548,1
-0.563,0.914,0.932,-0.286,-0.986,1
-0.331,0.095,0.982,-0.45,0.016,1
0.447,0.141,-0.601,0.627,0.837,1
-0.185,0.681,0.372,0.156,0.585,-1
0.352,0.044,0.218,-0.128,0.106,-1
-0.465,-0.706,0.439,0.826,-0.771,1
0.725,-0.939,-0.021,-0.747,0.679,-1
-0.024,0.553,0.012,-0.656,0.8,-1
-0.766,0.174,0.583,-0.356,-0.641,1
0.56,0.739,0.085,0.478,-0.025,1
-0.321,-0.612,0.227,0.189,0.03,1
-0.049,-0.412,-0.07,0.636,-0.101,1
0.664,0.104,0.32,0.979,0.581,1
0.284,0.553,0.188,0.797,-0.055,1
0.469,0.977,-0.483,0.077,0.334,1
0.448,0.202,-0.798,-0.194,0.897,1
0.33,-0.458,-0.943,-0.284,-0.395,1
0.135,0.653,-0.557,0.916,0.301,1
0.274,0.187,-0.409,0.051,0.516,1
0.889,0.569,0.577,0.787,0.977,1
-0.536,-0.088,0.079,0.712,-0.588,1
-0.435,0.712,-0.445,-0.07,0.946,-1
-0.151,0.23,-0.395,-0.499,-0.873,1
-0.483,-0.122,-0.644,0.099,-0.49,1
-0.611,-0.336,-0.018,0.918,0.052,1
0.842,0.432,0.612,-0.517,0.492,1
0.452,-0.48,0.795,0.175,-0.116,1
0.05,0.357,0.841,0.648,0.298,-1
0.4,0.972,-0.914,0.229,0.093,1
0.938,0.607,-0.843,-0.021,-0.802,1
0.907,-0.63,0.019,-0.617,-0.072,-1
0.247,-0.818,0.882,-0.39,0.245,1
-0.793,-0.798,0.929,-0.577,0.339,1
-0.417,-0.902,0.085,0.87,0.348,1
0.992,0.755,0.067,-0.864,0.56,1
0.683,-0.915,0.033,-0.927,-0.203,1
0.15,0.288,-0.414,0.071,0.847,-1
-0.954,0.314,-0.955,-0.606,0.689,-1
-0.406,-0.273,0.231,0.523,0.903,1
0.074,0.002,-0.61,0.346,-0.119,1
-0.377,0.343,-0.873,-0.128,-0.771,1
0.527,-0.88,0.769,-0.264,0.236,1
0.587,-0.094,0.91,-0.796,0.864,-1
0.13,0.483,-0.115,0.922,-0.71,1
0.143,0.021,-0.685,-0.611,-0.437,1
0.157,-0.387,0.508,-0.887,0.687,-1
0.026,-0.838,0.753,-0.041,-0.152,1
0.167,-0.609,0.35,-0.319,-0.735,1
-0.366,0.076,-0.39,-0.778,-0.477,1
-0.151,-0.33,-0.947,-0.563,-0.297,1
-0.068,0.067,0.94,0.095,-0.779,1
0.032,-0.784,-0.062,-0.418,-0.059,1
-0.197,0.701,0.884,-0.821,0.9,-1
-0.562,-0.3,-0.846,-0.133,0.819,-1
0.763,0.367,-0.994,0.834,-0.803,1
-0.042,0.375,-0.45,0.9,-0.469,1
-0.142,-0.138,-0.025,-0.815,0.494,-1
0.74,-0.172,-0.57,-0.872,0.398,1
0.778,-0.214,0.496,0.073,0.796,-1
-0.126,-0.03,-0.319,-0.287,0.673,-1
-0.89,0.288,-0.507,-0.071,0.823,-1
0.759,0.09,-0.488,-0.893,-0.658,1
-0.85,-0.047,-0.136,0.748,0.768,1
-0.971,-0.99,-0.88,0.872,-0.523,1
-0.851,-0.276,0.957,0.287,-0.786,1
-0.706,-0.496,-0.642,-0.865,0.652,1
0.66,-0.256,-0.262,0.42,0.833,-1
-0.463,-0.681,0.693,-0.464,0.343,1
0.472,0.628,0.944,-0.233,0.481,-1
-0.713,-0.232,0.851,0.609,-0.338,1
-0.866,0.249,0.794,0.113,0.392,1
-0.875,-0.287,0.902,0.061,-0.104,1
0.806,0.657,-0.534,-0.155,-0.914,1
0.264,0.607,-0.865,-0.57,-0.027,1
-0.995,0.35,0.149,-0.795,0.194,1
-0.695,0.797,0.507,0.251,-0.909,1
0.66,0.752,-0.236,0.759,-0.249,1
0.214,0.293,-0.813,-0.622,0.509,1
0.684,-0.75,-0.419,-0.662,0.564,-1
0.204,-0.872,0.43,0.152,0.641,1
0.276,0.249,0.307,-0.941,-0.988,1
0.448,-0.391,-0.044,-0.817,-0.532,1
0.918,0.407,0.784,0.569,-0.203,1
0.166,0.78,0.258,0.55,0.412,1
0.338,-0.143,-0.568,0.961,0.831,-1
-0.529,0.376,-0.92,0.371,-0.205,1
-0.12,0.179,-0.811,0.862,-0.566,1
-0.793,-0.689,-0.992,-0.504,0.101,1
-0.327,0.497,0.149,0.724,-0.483,1
0.393,-0.86,-0.684,-0.405,0.691,-1
0.415,0.921,0.03,0.562,0.957,1
0.912,0.392,0.662,0.784,0.738,1
-0.034,-0.797,-0.152,0.771,-0.052,1
0.123,-0.521,0.146,0.975,0.597,1
-0.931,-0.229,-0.669,0.035,-0.377,1
0.939,0.836,0.467,0.191,-0.476,1
-0.887,-0.656,-0.988,0.003,0.686,1
-0.982,0.125,-0.928,0.416,-0.904,1
-0.603,-0.424,0.827,-0.159,0.158,1
-0.739,-0.547,0.587,-0.664,0.154,1
0.728,-0.928,0.201,-0.026,-0.93,1
0.331,0.387,0.444,-0.193,-0.122,1
0.489,-0.201,-0.272,0.054,-0.532,1
0.01,0.2,0.205,0.91,-0.362,1
-0.704,0.665,-0.525,0.289,-0.909,1
0.913,0.727,-0.239,-0.593,0.234,1
-0.701,-0.047,0.137,0.606,0.203,1
0.418,-0.32,-0.708,0.78,-0.213,1
-0.255,-0.635,-0.389,0.266,0.014,1
-0.452,0.508,-0.749,0.734,-0.846,1
0.358,0.095,-0.02,-0.058,0.535,-1
0.07,-0.603,-0.43,-0.91,-0.624,1
-0.795,-0.326,-0.904,-0.379,-0.443,1
0.301,-0.885,-0.249,0.946,0.63,-1
0.171,0.246,-0.955,0.698,-0.942,1
-0.879,0.501,0.597,-0.348,-0.327,1
0.926,-0.689,-0.961,0.807,-0.502,1
-0.487,0.821,0.513,-0.91,0.692,-1
0.452,0.648,-0.98,-0.537,-0.688,1
-0.022,0.615,0.077,-0.008,-0.854,1
-0.009,0.346,0.879,0.108,0.686,-1
0.097,0.848,0.194,0.867,0.081,1
0.74,-0.896,0.829,-0.92,-0.421,1
-0.233,0.665,-0.189,0.636,-0.22,1
-0.094,0.874,0.738,0.213,0.286,-1
0.154,-0.813,0.227,0.255,-0.858,1
0.787,-0.607,0.691,0.041,0.872,-1
-0.679,0.134,0.631,-0.311,0.192,1
0.889,-0.492,-0.854,-0.825,-0.314,1
0.987,-0.515,0.14,0.905,0.163,1
-0.605,-0.296,0.993,-0.049,0.779,1
0.127,-0.408,0.799,-0.591,-0.325,1
-0.526,-0.084,-0.825,0.224,0.874,-1
0.612,0.306,0.379,0.35,0.631,1
-0.419,-0.501,0.126,-0.281,-0.068,1
0.117,0.887,0.498,0.58,0.039,1
-0.19,0.405,-0.433,0.124,-0.404,1
0.655,0.531,-0.356,-0.66,0.488,1
0.199,-0.77,0.053,-0.431,0.339,1
0.544,-0.771,0.456,-0.518,0.694,-1
0.256,0.741,0.426,-0.657,0.996,-1
-0.576,0.423,-0.955,-0.008,-0.975,1
0.807,-0.792,0.516,0.127,-0.105,1
-0.779,-0.441,0.933,-0.963,0.322,1
0.89,-0.933,-0.559,-0.874,0.364,-1
0.541,0.008,-0.216,0.233,0.533,1
-0.541,0.044,-0.328,-0.194,-0.551,1
-0.132,-0.398,-0.828,0.204,0.954,-1
-0.408,0.709,0.382,-0.385,-0.89,1
0.214,-0.494,-0.63,-0.927,-0.1,-1
0.737,0.821,-0.565,0.911,0.678,1
0.372,0.616,0.648,-0.525,0.073,1
-0.204,0.205,-0.776,-0.421,0.283,-1
0.124,0.926,-0.383,-0.759,0.108,1
-0.975,0.645,-0.003,-0.384,0.675,-1
-0.058,0.741,0.096,-0.774,0.577,-1
-0.62,0.535,-0.47,0.349,-0.792,1
-0.676,0.553,0.021,-0.973,0.003,-1
0.915,-0.491,0.681,0.821,0.671,-1
-0.116,-0.385,0.895,-0.686,-0.627,1
0.22,-0.224,-0.952,-0.269,-0.862,1
-0.132,0.459,-0.065,-0.977,-0.653,1
0.807,0.914,0.379,0.63,0.355,1
-0.964,0.817,0.634,0.373,0.1,1
-0.917,0.411,0.405,-0.142,0.625,1
0.131,-0.185,-0.408,0.462,-0.908,1
-0.763,-0.901,-0.508,0.115,-0.729,1
-0.481,-0.49,-0.872,0.773,0.187,1
-0.084,-0.061,0.335,-0.923,0.036,-1
0.753,-0.251,-0.377,-0.307,0.695,1
-0.375,-0.768,0.824,-0.606,0.719,1
-0.858,0.47,0.591,0.002,-0.234,1
-0.304,-0.037,-0.642,0.948,0.719,-1
0.58,-0.881,0.472,-0.893,0.344,1
0.188,0.102,0.362,0.052,0.941,-1
-0.525,0.755,-0.678,-0.645,-0.603,1
0.687,-0.975,0.932,0.752,0.413,1
-0.144,0.41,-0.477,0.306,-0.894,1
0.692,-0.199,0.788,-0.022,0.444,-1
-0.411,-0.628,-0.51,0.769,0.241,1
-0.065,0.553,0.678,0.242,0.598,-1
0.245,0.165,-0.709,0.929,-0.827,1
-0.345,0.746,0.682,0.678,0.286,-1
0.794,-0.982,0.099,-0.998,0.141,-1
-0.952,-0.371,-0.888,-0.748,0.485,1
0.497,0.879,0.217,-0.776,0.558,1
0.754,-0.995,0.305,-0.26,0.568,-1
-0.844,-0.433,-0.557,-0.997,0.787,1
0.569,0.339,0.094,0.434,0.54,1
0.536,-0.784,-0.089,-0.888,-0.948,1
0.1,-0.391,-0.525,-0.818,-0.439,1
0.347,-0.842,-0.721,0.395,0.664,-1
-0.098,-0.895,-0.146,0.903,-0.551,1
-0.679,-0.905,-0.531,-0.459,0.324,1
-0.099,-0.445,0.723,-0.621,0.254,1
0.133,-0.706,-0.772,-0.318,0.433,-1
-0.842,-0.303,0.657,-0.749,0.767,1
0.48,-0.84,-0.125,-0.651,0.103,-1
0.616,0.42,0.275,0.29,-0.184,1
-0.626,-0.715,0.826,0.513,-0.009,1
0.287,0.853,0.912,0.795,-0.447,1
-0.051,-0.113,-0.587,0.295,0.881,-1
0.856,-0.522,-0.863,-0.456,-0.366,1
0.773,0.89,0.602,-0.787,0.583,1
-0.32,-0.533,-0.017,-0.117,0.831,1
0.36,-0.294,-0.054,-0.48,0.812,-1
0.013,0.623,-0.898,-0.79,0.079,1
0.855,-0.004,-0.079,0.085,-0.974,1
0.042,-0.082,-0.357,0.465,-0.737,1
-0.185,-0.572,0.815,0.482,-0.097,1
0.381,-0.234,-0.682,-0.113,-0.012,1
0.986,-0.402,0.774,-0.398,-0.997,1
0.931,-0.853,0.622,0.467,0.559,-1
0.229,0.501,0.561,0.189,0.61,-1
0.727,-0.466,-0.951,-0.168,-0.907,1
-0.7,0.269,0.955,-0.556,0.132,1
0.719,-0.173,0.771,-0.516,0.251,-1
-0.411,0.091,-0.008,0.129,0.141,1
-0.774,-0.197,0.198,-0.509,-0.819,1
-0.997,-0.227,-0.343,-0.346,0.424,1
0.891,0.394,-0.336,-0.203,-0.772,1
0.339,-0.696,0.233,0.795,0.661,-1
0.551,0.609,-0.768,-0.26,0.879,1
0.734,0.025,0.244,0.801,-0.415,1
-0.653,-0.937,0.342,-0.953,-0.324,1
-0.571,-0.413,-0.582,-0.508,-0.238,1
-0.916,0.855,-0.144,0.316,0.838,-1
0.224,0.601,-0.489,-0.986,0.567,1
0.12,-0.35,-0.637,0.072,0.623,-1
-0.185,-0.938,0.431,0.42,-0.097,1
0.622,0.249,0.925,-0.616,0.241,-1
0.408,0.564,-0.457,-0.973,0.334,1
0.437,0.101,-0.881,0.281,0.862,1
0.667,0.542,-0.941,0.019,-0.452,1
-0.025,0.376,-0.147,0.497,-0.479,1
0.481,0.511,0.504,-0.204,0.693,1
0.544,-0.862,-0.743,-0.605,0.682,-1
0.692,-0.892,-0.328,0.399,-0.607,1
0.939,0.696,-0.545,-0.496,-0.251,1
0.775,-0.823,0.088,0.506,-0.101,1
-0.958,0.177,0.325,0.467,0.127,1
0.746,0.144,0.319,0.668,0.12,1
-0.729,0.298,-0.079,-0.297,-0.205,1
0.061,-0.913,0.455,-0.809,-0.615,1
0.745,0.138,-0.65,-0.525,0.21,1
0.219,-0.268,0.68,-0.938,-0.901,1
0.966,-0.991,0.191,0.408,-0.69,1
0.666,-0.374,-0.199,0.567,-0.197,1
0.46,0.462,-0.368,0.102,0.331,1
-0.983,-0.459,-0.015,-0.767,-0.29,1
0.396,-0.167,-0.126,-0.602,0.328,-1
-0.818,-0.507,0.253,-0.492,0.873,1
0.915,0.416,0.839,0.217,-0.889,1
0.369,0.058,0.769,0.817,0.7,-1
-0.79,0.405,-0.505,0.931,0.169,1
0.588,-0.91,-0.782,0.639,-0.523,1
-0.561,-0.921,0.42,0.578,0.891,1
0.217,-0.619,0.0,-0.66,-0.794,1
-0.28,-0.919,0.533,-0.022,-0.686,1
