@Relation art_training.arff

@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE win {-1,1}

@DATA
0.611,-0.838,0.762,-0.701,-0.132,1
-0.013,0.624,0.777,0.871,0.812,-1
0.903,-0.898,-0.817,-0.58,-0.144,1
-0.399,0.347,-0.08,0.108,-0.664,1
0.575,0.648,0.444,0.212,-0.844,1
0.565,-0.247,-0.092,-0.516,-0.891,1
-0.443,0.591,-0.544,-0.246,0.804,-1
-0.003,0.544,-0.098,-0.594,-0.161,1
0.456,0.107,0.792,0.573,0.889,-1
-0.293,-0.76,-0.685,0.25,0.042,1
0.205,0.179,-0.896,-0.439,0.448,1
0.517,0.283,-0.783,-0.971,0.418,1
0.285,0.51,-0.799,-0.946,0.856,1
-0.328,-0.777,0.913,-0.933,-0.168,1
-0.081,-0.121,0.333,-0.255,0.166,1
-0.155,0.808,0.152,-0.761,-0.578,1
0.945,-0.531,-0.775,0.856,0.037,1
0.954,-0.559,0.93,0.766,0.065,1
-0.022,0.19,-0.464,-0.92,-0.512,1
-0.874,0.617,-0.176,-0.783,-0.082,-1
-0.354,0.055,0.041,0.642,0.874,-1
0.761,-0.077,-0.849,-0.306,-0.08,1
-0.608,0.964,-0.184,-0.782,0.731,-1
-0.173,0.969,0.007,0.959,-0.063,1
-0.075,0.313,-0.474,-0.89,0.684,-1
0.324,0.173,-0.965,-0.843,-0.525,1
0.463,0.442,-0.274,-0.248,0.355,1
0.727,0.773,-0.599,-0.612,-0.153,1
-0.547,-0.766,0.224,-0.014,-0.549,1
0.454,0.734,0.652,-0.992,0.067,1
0.186,-0.888,0.65,-0.007,-0.849,1
0.842,0.953,-0.778,0.449,-0.187,1
-0.954,0.821,0.142,-0.437,-0.566,1
-0.532,0.828,-0.958,-0.61,0.843,1
0.381,-0.337,-0.157,-0.416,0.538,-1
-0.56,-0.432,0.247,-0.318,0.799,1
-0.811,0.431,0.422,-0.297,0.482,1
-0.404,-0.096,-0.702,0.651,-0.756,1
0.95,0.466,0.927,0.492,0.869,1
0.243,0.109,-0.173,-0.507,-0.275,1
-0.117,0.699,0.496,-0.952,0.627,-1
0.774,0.037,-0.255,-0.845,0.382,1
0.848,0.432,0.113,0.166,-0.361,1
-0.957,0.726,-0.629,0.172,-0.989,1
-0.87,-0.045,0.144,-0.051,-0.96,1
0.869,-0.666,0.44,-0.193,-0.265,1
-0.24,-0.335,-0.633,0.402,0.209,-1
-0.219,-0.244,0.767,0.451,-0.574,1
-0.29,-0.148,0.23,-0.966,-0.274,1
0.191,-0.814,-0.989,-0.692,0.15,-1
0.012,-0.041,-0.185,-0.474,0.071,-1
-0.177,0.413,-0.07,-0.989,-0.794,1
0.884,0.938,-0.81,-0.45,0.998,1
-0.638,0.839,-0.545,0.356,-0.155,1
-0.066,0.934,-0.269,0.697,-0.347,1
-0.419,-0.295,-0.998,-0.231,-0.58,1
-0.059,0.374,-0.828,0.575,-0.493,1
0.598,0.838,0.165,-0.728,-0.769,1
-0.993,0.621,0.191,0.596,-0.977,1
0.188,-0.978,-0.943,0.293,-0.942,1
-0.975,0.218,-0.407,0.894,0.488,1
0.071,-0.396,0.165,-0.482,-0.929,1
-0.611,0.386,0.893,0.776,-0.75,1
0.476,-0.042,-0.79,-0.202,0.421,1
-0.029,0.263,0.409,0.009,-0.019,1
-0.364,-0.094,0.789,0.873,-0.233,1
-0.347,-0.299,0.169,0.322,0.712,1
0.189,-0.969,0.451,0.879,0.455,1
-0.192,-0.866,-0.112,0.533,0.202,1
-0.177,-0.368,-0.653,0.617,0.432,-1
0.793,0.089,-0.58,-0.065,0.289,1
-0.256,-0.574,0.0,0.576,-0.025,1
-0.611,-0.58,0.985,-0.531,-0.903,1
0.506,-0.776,-0.616,-0.292,-0.577,1
0.394,-0.819,0.555,0.554,-0.072,1
0.96,-0.954,0.367,-0.036,0.977,-1
-0.126,0.979,0.923,-0.02,-0.858,1
-0.191,0.736,0.562,-0.962,0.699,-1
0.144,0.002,0.38,0.927,0.596,-1
-0.19,0.494,0.043,0.858,-0.817,1
0.447,-0.242,0.302,-0.166,0.55,-1
0.018,-0.612,-0.707,-0.746,-0.854,1
-0.878,-0.969,-0.461,0.813,0.961,1
-0.29,0.033,0.921,-0.577,-0.468,1
-0.727,0.723,0.633,0.559,0.258,1
0.48,0.902,-0.642,-0.357,0.717,1
0.805,0.203,-0.909,-0.756,0.417,1
-0.999,-0.322,0.889,0.391,0.425,1
-0.405,-0.816,0.413,0.506,0.301,1
-0.116,-0.36,0.869,-0.945,0.969,1
0.981,0.367,-0.218,0.294,0.896,1
0.53,-0.732,-0.001,-0.233,-0.829,1
-0.99,-0.127,-0.982,0.96,-0.778,1
0.549,-0.401,-0.465,-0.331,-0.552,1
-0.477,-0.484,-0.522,0.407,0.993,-1
-0.28,0.896,-0.539,-0.092,-0.399,1
-0.122,0.438,0.794,-0.22,-0.926,1
0.433,-0.282,-0.642,0.126,0.462,1
0.086,-0.29,-0.47,-0.143,-0.35,1
0.071,0.254,0.185,-0.688,0.181,-1
-0.795,0.662,-0.386,-0.551,-0.224,1
-0.262,-0.348,0.175,-0.024,0.097,1
0.068,-0.162,0.05,0.091,0.524,-1
-0.408,-0.521,0.029,-0.624,0.009,1
0.275,-0.286,0.928,-0.349,0.61,-1
0.327,-0.655,-0.649,-0.439,-0.862,1
-0.364,-0.178,-0.874,0.107,0.163,-1
0.202,0.037,0.69,0.459,0.565,-1
0.299,-0.915,-0.274,0.672,-0.969,1
0.067,0.705,-0.576,0.969,0.075,1
0.883,0.613,-0.304,-0.704,0.743,1
0.487,-0.898,-0.253,0.425,0.06,1
0.39,0.635,-0.871,0.306,0.527,1
-0.822,-0.803,0.191,0.211,0.522,1
0.846,-0.568,-0.653,0.652,-0.826,1
0.115,-0.858,0.088,0.899,-0.04,1
0.604,-0.523,-0.967,0.025,-0.9,1
0.558,0.125,0.976,-0.484,-0.135,1
0.982,0.862,0.859,-0.866,0.493,1
-0.869,-0.412,-0.648,0.773,0.709,1
-0.573,0.117,0.149,0.003,0.264,1
0.889,-0.693,0.027,0.376,-0.362,1
-0.438,0.081,0.762,-0.454,0.001,1
0.896,-0.808,-0.124,-0.822,0.763,-1
0.021,-0.645,-0.819,-0.84,0.577,-1
0.495,-0.277,0.579,0.593,0.678,-1
-0.471,0.617,0.072,0.421,-0.129,1
0.901,-0.035,-0.519,-0.112,-0.845,1
-0.031,-0.936,-0.78,-0.537,-0.758,1
0.383,-0.469,-0.859,0.65,-0.18,1
-0.25,-0.438,0.944,0.15,0.399,1
-0.023,-0.073,0.807,-0.786,-0.907,1
0.79,-0.95,-0.531,0.247,0.724,-1
0.343,-0.839,-0.314,0.147,-0.676,1
0.431,-0.126,-0.494,-0.478,-0.641,1
-0.178,-0.508,-0.639,0.015,0.47,-1
-0.518,-0.647,-0.389,-0.233,-0.695,1
0.536,0.958,-0.488,-0.784,0.645,1
-0.058,-0.609,-0.501,-0.931,-0.28,1
-0.059,-0.034,-0.911,0.997,-0.395,1
0.272,0.937,-0.633,-0.612,0.68,1
0.494,-0.068,0.604,0.593,0.33,-1
0.133,-0.293,-0.382,-0.066,-0.15,1
-0.21,0.107,0.592,0.185,0.068,1
-0.42,-0.638,0.234,0.079,-0.508,1
0.441,-0.894,-0.412,0.425,0.071,1
-0.817,-0.245,-0.995,0.154,-0.903,1
-0.651,-0.929,0.985,0.138,-0.693,1
0.254,0.893,-0.534,0.998,0.609,1
-0.41,-0.691,0.144,0.554,0.714,1
0.633,-0.716,-0.522,-0.827,-0.121,-1
-0.958,0.8,0.198,0.862,0.549,-1
0.182,-0.39,0.635,0.72,0.243,1
-0.056,0.391,-0.636,0.611,0.439,1
0.34,0.509,0.875,-0.726,0.818,-1
-0.448,-0.243,0.902,0.922,-0.246,1
0.647,-0.348,-0.242,-0.332,-0.176,1
0.161,-0.333,0.107,-0.447,0.461,-1
0.342,0.134,0.857,-0.137,0.576,-1
0.739,-0.194,0.281,0.721,0.533,-1
0.333,0.701,0.929,-0.78,0.377,-1
-0.443,-0.271,0.314,-0.972,0.067,1
-0.704,-0.356,-0.71,0.318,-0.767,1
-0.779,0.972,-0.925,-0.818,0.837,-1
-0.817,0.187,0.3,0.372,0.783,1
-0.879,0.274,0.808,-0.305,0.499,1
0.583,-0.018,0.997,-0.279,-0.128,1
0.099,-0.64,0.02,-0.004,-0.948,1
0.383,0.26,-0.425,-0.676,0.693,1
-0.715,0.741,0.593,-0.505,-0.753,1
0.023,0.397,0.682,-0.489,-0.003,-1
0.72,-0.861,0.836,-0.727,0.776,-1
-0.443,-0.724,-0.932,0.582,0.477,1
-0.162,-0.464,-0.382,-0.004,-0.092,1
0.423,-0.522,0.832,0.64,-0.255,1
0.497,-0.931,-0.062,-0.415,0.608,-1
0.291,0.219,0.206,-0.387,0.677,-1
0.782,0.09,-0.376,-0.15,0.955,1
-0.116,-0.336,0.217,0.73,-0.456,1
0.333,0.662,-0.574,-0.147,-0.07,1
0.68,0.131,-0.17,0.896,0.884,1
-0.488,0.323,-0.212,0.065,-0.605,1
0.482,0.984,0.528,0.939,-0.657,1
0.392,-0.428,-0.451,0.651,-0.451,1
0.344,-0.237,0.04,-0.209,-0.11,1
0.001,-0.442,-0.567,0.309,0.32,-1
0.195,-0.569,0.019,0.227,-0.871,1
0.997,-0.777,0.628,0.515,0.832,-1
-0.81,0.878,0.192,0.27,-0.405,1
0.635,0.36,-0.713,0.102,0.23,1
0.121,-0.691,0.843,-0.84,0.1,1
-0.934,-0.844,0.73,-0.524,-0.651,1
0.342,0.802,-0.664,-0.927,0.199,1
-0.965,-0.282,0.176,-0.146,-0.097,1
-0.806,-0.943,-0.564,-0.06,0.913,1
0.723,-0.908,-0.371,-0.073,0.789,-1
0.144,0.019,0.157,0.759,-0.429,1
0.033,-0.317,0.699,0.106,-0.721,1
-1.0,-0.089,-0.557,-0.291,0.158,1
0.924,0.637,0.067,0.374,0.534,1
-0.229,-0.087,0.529,-0.515,0.165,1
-0.258,0.013,-0.493,0.478,0.974,-1
0.243,0.822,0.653,0.005,0.226,1
-0.96,0.567,-0.451,0.349,-0.746,1
0.46,0.303,-0.815,0.417,0.066,1
0.103,-0.728,-0.532,0.501,0.428,-1
-0.276,0.631,0.034,-0.618,0.427,-1
0.247,-0.078,0.082,-0.237,0.259,-1
-0.675,-0.104,-0.631,0.901,-0.2,1
0.499,0.111,-0.392,-0.671,0.706,1
0.794,0.233,-0.214,-0.87,0.419,1
-0.864,0.911,-0.409,0.956,-0.788,1
-0.509,-0.127,-0.756,0.552,0.423,-1
0.355,-0.901,0.398,0.742,-0.717,1
0.77,-0.357,0.696,-0.438,0.283,-1
0.382,-0.618,-0.369,-0.217,0.645,-1
-0.731,-0.532,-0.595,0.533,-0.218,1
0.064,0.951,0.058,-0.926,-0.487,1
0.563,-0.122,-0.4,0.084,-0.667,1
0.191,-0.314,-0.561,0.613,-0.467,1
-0.734,-0.916,-0.035,0.58,-0.726,1
0.082,-0.807,0.075,-0.214,-0.676,1
0.009,-0.895,0.648,0.835,0.544,1
0.206,-0.988,0.901,0.694,0.086,1
0.921,-0.693,0.016,-0.277,0.431,-1
0.335,0.588,-0.117,0.851,0.511,1
0.923,0.264,0.392,0.341,-0.892,1
-0.393,-0.335,0.075,0.707,-0.995,1
0.278,-0.18,0.464,-0.547,0.85,-1
0.825,-0.757,-0.139,-0.137,0.396,-1
-0.767,-0.689,-0.59,0.126,-0.629,1
0.09,-0.1,-0.031,-0.295,-0.384,1
-0.776,0.404,-0.74,0.892,-0.21,1
0.042,0.676,-0.536,0.385,0.102,1
-0.15,0.181,-0.326,-0.737,0.496,-1
0.384,-0.979,0.871,0.379,-0.369,1
0.018,0.052,-0.222,-0.973,0.447,-1
-0.467,0.882,-0.073,0.645,-0.912,1
-0.726,-0.534,-0.276,0.543,0.199,1
0.683,-0.895,-0.712,-0.819,0.694,-1
0.176,-0.163,-0.972,-0.035,-0.708,1
0.987,0.575,-0.559,-0.952,0.984,1
-0.263,0.763,0.159,-0.773,0.536,-1
0.645,-0.078,0.155,-0.502,0.586,-1
-0.709,-0.571,0.903,0.763,0.562,1
0.432,-0.59,-0.17,0.472,-0.253,1
0.735,0.693,0.383,0.609,-0.408,1
-0.38,0.115,0.329,0.308,0.769,-1
0.921,-0.958,0.044,-0.819,-0.085,-1
-0.466,-0.755,-0.471,-0.991,0.82,1
