@Relation Hao_testing_B.arff

@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE 11 NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE win {-1,1}

@DATA
-0.82,-0.595,-0.309,-0.629,0.458,-0.775,-0.834,-0.169,0.639,0.209,-0.233,0.098,1
0.23,-0.147,-0.639,0.994,0.196,0.446,-0.446,-0.882,-0.022,-0.164,-0.512,0.293,1
0.884,0.562,0.555,-0.547,0.043,0.351,-0.593,0.785,0.916,0.304,0.216,0.498,1
0.354,0.706,0.661,0.168,0.677,-0.16,-0.811,-0.708,-0.084,0.382,-0.31,-0.356,1
-0.026,0.507,0.406,0.305,0.165,0.636,-0.585,0.942,0.256,-0.368,0.707,-0.719,1
-0.09,0.691,0.313,0.11,0.006,0.453,0.194,-0.747,-0.765,0.531,-0.335,0.77,-1
0.77,-0.476,0.159,0.214,0.888,0.117,-0.871,-0.223,0.552,-0.835,-0.6,-0.299,1
-0.77,-0.062,-0.968,0.834,-0.652,-0.681,0.279,0.473,0.61,0.795,-0.623,-0.129,1
0.768,-0.201,-0.34,-0.209,-0.204,-0.425,0.285,-0.016,0.664,0.707,-0.303,0.809,1
-0.3,0.43,-0.606,-0.624,0.605,-0.441,-0.767,-0.776,-0.952,-0.362,-0.445,-0.544,-1
0.795,-0.678,0.011,0.447,-0.811,-0.221,-0.95,0.326,0.595,0.011,-0.098,0.937,1
0.926,0.419,-0.732,0.293,0.169,-0.847,0.314,0.583,0.972,0.365,-0.273,0.041,1
-0.94,-0.528,-0.598,-0.983,-0.167,-0.917,-0.04,0.882,0.349,0.385,0.52,0.775,1
-0.435,-0.71,0.963,0.865,0.844,0.402,-0.588,0.864,-0.849,-0.308,-0.121,0.05,1
0.427,0.361,-0.491,0.378,-0.688,0.523,0.553,0.992,-0.267,-0.146,-0.403,-0.147,-1
0.681,0.136,-0.309,-0.496,0.598,0.696,-0.15,-0.301,-0.314,0.619,0.768,0.312,1
-0.103,0.852,-0.286,-0.523,0.142,-0.685,-0.972,0.291,0.301,0.278,-0.814,-0.311,1
-0.451,-0.701,-0.401,-0.367,-0.662,-0.709,0.539,0.394,0.905,-0.796,0.743,0.285,1
0.231,-0.807,0.053,0.132,-0.772,0.689,-0.243,-0.2,0.442,0.979,0.608,-0.59,1
-0.864,0.563,0.415,-0.233,0.36,-0.351,-0.043,0.322,0.425,-0.38,0.769,-0.983,1
0.627,0.987,0.57,0.611,0.433,-0.693,-0.062,0.499,0.048,0.246,-0.156,0.982,1
0.968,0.253,-0.562,-0.621,0.553,-0.031,-0.352,-0.576,-0.152,-0.05,0.444,0.069,1
0.002,0.431,0.412,0.557,0.356,-0.014,-0.143,-0.925,0.59,0.061,0.639,0.001,1
-0.177,-0.325,0.954,-0.998,-0.035,0.643,0.509,0.773,-0.367,0.087,-0.542,0.157,1
0.682,-0.763,0.683,-0.523,-0.207,0.543,-0.01,0.127,-0.945,-0.817,-0.989,-0.261,-1
-0.351,-0.735,0.552,-0.854,0.109,-0.447,0.508,0.686,-0.872,0.056,-0.93,-0.121,1
-0.426,-0.718,0.285,-0.945,-0.078,0.122,0.109,-0.75,-0.151,0.566,0.226,0.073,1
0.443,0.723,0.057,-0.769,-0.478,-0.488,0.087,0.511,-0.682,-0.4,0.955,-0.748,1
-0.918,0.482,0.529,-0.978,0.362,-0.256,0.401,-0.993,-0.206,-0.574,-0.731,0.671,1
0.588,0.227,0.683,0.653,0.641,-0.028,0.594,-0.515,0.371,0.534,0.822,0.734,1
-0.749,0.305,-0.322,0.773,0.611,0.6,0.55,-0.827,-0.111,0.264,-0.879,-0.092,1
-0.747,0.376,0.693,0.249,0.698,-0.584,-0.429,0.503,-0.128,-0.508,0.461,-0.61,1
-0.978,0.3,-0.077,-0.783,0.089,0.328,0.943,0.315,0.101,0.613,-0.747,0.41,1
0.839,0.339,-0.422,-0.06,-0.33,0.415,-0.555,-0.442,-0.852,-0.464,0.878,-0.39,1
-0.715,-0.71,-0.475,0.828,0.858,0.52,0.605,-0.483,-0.693,0.385,0.932,-0.106,1
0.639,0.476,0.292,0.282,-0.196,-0.513,0.338,0.861,-0.854,-0.803,-0.125,0.715,-1
-0.042,0.719,0.926,0.251,0.601,0.043,0.266,-0.714,-0.842,-0.943,-0.919,-0.579,-1
0.062,0.578,-0.162,0.586,0.866,0.656,-0.397,-0.652,-0.609,0.815,0.556,0.559,1
0.826,-0.24,0.403,0.927,-0.751,-0.919,0.663,-0.488,-0.27,-0.992,-0.502,0.463,-1
0.266,0.96,0.307,-0.89,0.953,0.327,-0.606,0.477,-0.494,-0.047,0.877,0.137,1
0.907,0.036,0.433,0.873,-0.929,0.606,0.552,-0.295,0.261,-0.447,-0.493,0.48,1
0.892,-0.092,0.503,0.002,-0.005,0.274,0.316,-0.096,0.709,-0.009,-0.035,0.053,1
-0.427,-0.016,-0.11,0.973,0.371,0.383,0.287,0.73,-0.578,0.642,-0.755,0.942,-1
0.647,0.6,-0.677,-0.459,-0.074,-0.586,0.218,0.747,-0.563,-0.3,-0.064,0.587,1
0.37,0.787,0.508,-0.744,-0.224,0.288,0.954,-0.514,-0.523,-0.327,-0.064,0.125,-1
0.266,0.798,0.235,-0.481,0.449,-0.341,-0.081,-0.224,0.409,-0.552,0.242,0.449,1
-0.41,0.727,0.987,0.213,-0.116,-0.199,0.767,-0.409,-0.032,-0.395,-0.796,0.475,-1
0.266,0.465,0.822,-0.099,-0.17,0.842,0.302,0.1,-0.243,-0.953,-0.787,-0.103,-1
-0.102,0.008,-0.592,-0.606,-0.089,0.936,-0.354,-0.69,0.803,-0.833,0.386,0.959,1
-0.905,-0.402,-0.522,-0.516,0.247,0.137,-0.639,0.86,-0.958,-0.652,0.938,-0.92,-1
-0.474,0.229,-0.613,-0.11,0.223,-0.211,0.602,0.633,0.267,0.768,-0.61,0.651,-1
0.122,-0.681,0.824,0.439,0.589,-0.333,0.624,0.431,-0.038,-0.078,0.414,-0.28,1
-0.252,-0.377,0.22,0.512,-0.27,0.761,0.451,0.971,0.245,0.598,-0.503,0.815,-1
-0.299,-0.778,-0.092,-0.677,-0.188,-0.807,-0.929,0.582,-0.405,-0.407,-0.339,0.897,-1
-0.983,0.262,-0.746,-0.815,0.31,0.597,0.553,0.464,-0.852,0.614,0.997,0.512,1
-0.424,-0.199,0.887,0.112,-0.31,0.443,-0.251,-0.262,-0.313,0.756,-0.36,0.395,1
0.392,-0.064,0.416,0.57,0.883,-0.962,0.092,-0.34,0.848,0.933,-0.265,0.275,1
0.52,0.691,-0.403,0.623,-0.12,0.58,-0.821,-0.893,0.887,0.308,0.342,0.215,1
-0.441,-0.192,0.471,-0.846,-0.375,-0.788,-0.771,0.11,0.107,-0.383,-0.996,0.03,-1
