@Relation Hao_training_B.arff

@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE 11 NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE win {-1,1}

@DATA
0.763,0.181,0.989,0.694,-0.153,0.702,0.709,0.91,-0.405,-0.663,0.902,0.887,-1
-0.957,-0.666,-0.553,-0.51,-0.27,-0.122,0.865,-0.658,-0.049,0.179,-0.615,-0.985,1
-0.559,-0.448,-0.371,0.099,0.157,0.608,0.089,0.682,-0.574,0.904,0.048,-0.027,-1
-0.227,0.056,-0.494,0.667,-0.437,0.952,0.831,0.929,0.093,0.316,0.304,0.105,-1
-0.38,-0.062,0.36,-0.781,-0.206,-0.3,0.738,0.166,-0.869,0.405,-0.394,0.877,1
-0.829,-0.652,-0.604,0.078,-0.354,0.742,-0.228,0.674,0.072,-0.522,-0.57,0.236,-1
0.518,-0.553,-0.473,0.235,0.195,0.654,-0.744,-0.893,-0.631,0.333,-0.807,-0.806,1
0.837,0.075,0.713,-0.299,-0.701,0.809,0.832,-0.401,-0.251,0.306,0.834,-0.303,1
0.041,0.384,0.296,0.701,0.095,-0.344,-0.47,0.276,0.164,-0.547,0.353,0.226,1
0.835,-0.126,-0.518,-0.854,0.482,0.558,-0.803,-0.959,-0.133,0.217,0.71,-0.918,1
0.361,0.418,0.937,0.567,-0.647,0.757,-0.47,-0.533,0.794,0.202,0.424,-0.637,1
-0.097,0.971,0.788,0.446,0.961,-0.81,-0.541,0.692,-0.115,-0.621,-0.483,0.11,-1
0.833,-0.027,-0.736,0.066,0.397,0.632,-0.571,-0.811,-0.96,-0.931,-0.279,-0.248,1
0.758,0.088,-0.948,-0.977,0.801,-0.335,0.196,-0.976,-0.071,0.673,0.771,-0.643,1
0.181,0.186,0.276,0.541,-0.242,0.14,-0.289,-0.434,-0.68,-0.29,0.563,-0.782,1
0.915,0.944,-0.428,-0.45,-0.67,-0.205,-0.818,0.875,-0.316,-0.048,-0.139,-0.774,1
-0.844,-0.08,-0.045,0.196,0.916,0.335,0.981,-0.5,-0.275,0.399,0.665,0.851,1
0.101,-0.77,-0.254,-0.846,-0.426,0.877,-0.588,0.495,0.884,0.481,-0.209,0.778,1
-0.776,0.758,0.35,-0.432,-0.559,0.869,-0.729,0.389,0.792,0.07,0.979,-0.458,1
-0.916,-0.088,-0.009,-0.366,-0.503,0.375,-0.905,-0.924,-0.358,0.167,-0.651,0.129,1
0.029,0.071,-0.105,-0.231,-0.351,0.985,0.964,0.632,-0.036,-0.418,-0.059,0.595,-1
-0.581,0.939,-0.382,0.857,-0.996,-0.84,-0.463,-0.406,0.986,0.063,-0.696,0.153,1
0.692,-0.604,0.101,0.267,0.724,0.994,-0.462,-0.512,-0.64,0.394,0.472,-0.01,1
0.892,0.943,0.158,0.838,-0.772,-0.15,-0.205,-0.204,-0.52,0.321,0.4,0.951,1
0.819,-0.663,0.721,-0.212,-0.495,0.245,-0.403,0.184,-0.154,-0.862,-0.947,-0.526,-1
-0.941,-0.826,0.383,-0.134,-0.675,0.073,-0.198,-0.408,-0.349,0.54,-0.444,-0.624,1
-0.047,-0.533,-0.453,0.444,-0.713,0.762,0.621,0.975,-0.361,0.126,0.524,0.309,-1
0.162,-0.807,0.567,-0.569,0.012,0.713,-0.507,-0.127,-0.119,-0.594,0.059,0.058,1
0.404,-0.677,-0.991,0.422,0.712,0.0,-0.189,0.532,0.633,-0.964,-0.526,0.386,-1
-0.908,0.789,0.91,-0.307,-0.696,0.268,0.539,0.828,-0.406,-0.652,0.525,0.597,-1
0.23,-0.55,-0.825,0.445,0.966,-0.659,-0.418,-0.525,-0.142,-0.912,-0.006,-0.825,1
-0.762,-0.076,-0.75,0.625,-0.084,0.421,-0.379,0.194,-0.372,-0.327,0.129,0.717,-1
0.726,0.395,-0.66,-0.38,-0.859,0.277,-0.652,0.515,0.065,0.592,0.877,-0.765,1
0.78,0.389,-0.111,0.35,0.161,0.803,-0.073,-0.258,0.021,0.106,0.784,0.23,1
-0.345,0.331,0.841,0.939,-0.822,0.759,0.26,-0.037,-0.915,-0.117,0.288,-0.441,-1
-0.135,0.511,0.43,-0.104,-0.887,-0.045,0.144,0.784,-0.692,-0.257,0.957,-0.72,-1
0.005,-0.429,-0.458,0.538,0.969,-0.523,-0.721,0.906,0.432,0.851,-0.655,-0.734,-1
0.431,0.658,0.118,-0.127,0.887,0.428,-0.782,-0.999,-0.583,-0.018,0.919,-0.014,1
-0.042,-0.069,-0.405,-0.298,0.917,0.164,0.526,-0.739,0.788,0.176,0.806,0.481,1
0.908,-0.516,-0.841,-0.874,0.9,-0.374,0.934,-0.053,-0.41,-0.529,0.653,-0.399,1
-0.38,-0.032,-0.367,-0.945,-0.908,-0.572,0.04,-0.519,-0.015,0.398,-0.172,-0.619,1
0.702,0.248,-0.285,0.099,-0.038,0.196,-0.308,0.191,0.383,0.877,0.938,0.515,1
-0.865,0.763,-0.301,-0.386,-0.143,0.547,-0.462,-0.754,-0.65,0.828,0.853,0.646,1
-0.68,-0.291,-0.805,0.999,0.809,-0.713,0.166,0.172,-0.4,0.967,0.757,-0.714,1
0.743,-0.758,0.83,-0.257,-0.783,-0.751,-0.3,0.55,-0.953,-0.736,0.269,-0.195,-1
0.97,-0.401,0.878,0.284,0.457,-0.325,-0.675,-0.201,0.396,0.04,-0.689,-0.746,1
-0.712,-0.179,-0.045,0.11,0.946,0.401,-0.253,0.855,-0.434,0.608,-0.084,0.864,-1
-0.092,0.718,0.506,-0.73,-0.278,-0.579,0.584,0.424,0.33,0.486,-0.718,-0.142,-1
0.631,-0.732,-0.619,-0.641,0.078,0.328,0.31,-0.738,-0.569,0.254,0.213,-0.584,1
-0.964,0.269,-0.465,-0.942,0.837,-0.197,0.166,-0.658,0.81,-0.012,-0.401,-0.575,1
0.025,0.013,-0.153,-0.4,0.293,-0.409,0.755,-0.866,-0.532,0.35,0.397,0.675,1
-0.793,-0.092,-0.911,0.161,-0.362,0.861,-0.311,0.414,-0.072,-0.542,-0.095,-0.202,-1
0.173,-0.768,-0.512,0.073,-0.068,0.977,-0.913,-0.666,0.193,0.347,-0.28,0.895,1
0.595,0.504,0.664,0.075,-0.395,0.935,0.662,-0.369,0.007,0.832,0.535,-0.054,1
-0.734,0.736,0.902,0.575,0.072,0.463,0.458,-0.858,-0.417,0.27,-0.579,-0.696,1
0.018,0.68,-0.934,0.2,-0.133,-0.055,0.575,0.029,0.165,0.9,0.263,-0.895,1
0.104,-0.55,-0.597,0.545,-0.518,0.169,-0.413,0.369,-0.703,-0.553,-0.279,-0.545,-1
-0.943,-0.448,-0.471,-0.557,0.198,0.891,-0.893,-0.665,-0.812,0.032,-0.963,0.824,-1
-0.224,0.419,0.739,0.925,0.711,-0.993,0.483,-0.722,0.646,-0.999,0.539,0.796,1
0.028,-0.041,-0.302,0.709,-0.727,-0.602,-0.872,-0.213,-0.81,-0.638,-0.705,0.502,-1
-0.898,-0.984,-0.957,-0.316,0.868,-0.378,-0.994,-0.662,0.731,0.276,-0.965,0.873,1
0.425,-0.028,-0.188,0.395,-0.477,0.959,0.236,-0.376,0.957,-0.269,0.347,-0.59,1
-0.26,-0.527,0.867,-0.907,0.513,-0.053,-0.653,0.657,-0.222,-0.657,0.54,0.41,1
0.191,-0.101,0.813,0.602,0.413,0.807,-0.509,0.312,0.616,0.56,-0.341,0.632,1
-0.505,-0.618,0.538,0.646,0.741,-0.971,-0.15,0.426,0.587,-0.346,-0.568,0.716,1
0.412,-0.379,0.437,-0.783,-0.25,0.166,-0.079,-0.457,0.757,0.736,0.179,0.251,1
0.142,0.574,-0.436,-0.377,-0.621,-0.609,0.245,-0.484,-0.321,0.91,-0.357,-0.524,1
-0.58,0.692,-0.312,0.871,0.397,-0.815,0.029,0.491,-0.824,0.401,0.562,0.587,-1
0.855,0.991,-0.49,-0.455,-0.535,-0.896,-0.836,0.564,-0.263,-0.756,0.222,-0.414,1
0.985,-0.809,-0.533,-0.205,0.552,0.824,0.476,-0.765,0.776,-0.67,-0.807,0.989,1
-0.144,-0.54,0.937,0.967,-0.519,-0.043,-0.165,-0.408,0.157,-0.397,0.228,0.065,1
-0.007,-0.894,-0.607,-0.328,0.215,0.484,0.694,0.205,-0.633,-0.898,0.73,-0.464,1
0.822,0.461,-0.604,0.659,-0.861,0.594,-0.764,-0.122,-0.532,-0.992,0.501,0.17,1
-0.657,0.604,0.407,-0.773,0.699,-0.434,-0.222,0.297,0.987,-0.836,0.765,0.909,1
-0.052,-0.842,-0.874,0.75,0.551,0.834,-0.688,0.438,0.787,-0.392,-0.859,0.247,-1
0.467,-0.82,0.404,0.287,-0.792,0.037,0.032,-0.396,-0.187,0.384,-0.18,-0.114,1
-0.224,0.079,0.294,0.194,-0.596,0.438,0.898,-0.78,-0.081,-0.62,0.748,-0.533,1
-0.067,0.331,-0.14,-0.244,0.665,-0.99,0.062,0.901,0.479,-0.737,0.882,-0.885,1
0.287,0.901,-0.02,-0.374,-0.334,-0.714,0.896,-0.053,-0.357,-0.162,0.658,-0.165,1
-0.555,-0.089,-0.729,-0.789,-0.596,0.632,0.887,-0.98,-0.562,0.217,0.085,-0.684,1
0.794,-0.139,0.723,0.91,-0.482,0.982,-0.168,-0.701,-0.773,0.894,-0.32,-0.024,1
0.346,-0.045,0.365,0.065,0.788,0.336,-0.592,-0.364,-0.076,0.499,0.369,-0.665,1
0.278,0.548,0.29,-0.863,0.408,-0.948,0.363,-0.689,0.275,-0.249,0.24,-0.629,1
0.439,0.022,-0.917,0.405,0.855,0.643,-0.06,-0.583,-0.509,0.628,0.188,-0.931,1
-0.522,0.545,0.82,-0.007,0.414,0.839,0.504,-0.569,-0.737,-0.165,0.473,-0.355,1
-0.864,-0.748,-0.691,0.278,-0.554,-0.626,-0.224,-0.34,0.496,0.953,0.738,0.827,1
0.451,0.697,0.527,0.454,-0.3,-0.136,0.151,-0.439,0.988,0.979,0.906,-0.841,1
-0.353,0.13,-0.832,-0.748,0.725,0.386,0.959,-0.812,0.098,0.608,0.295,0.394,1
0.983,-0.847,-0.176,0.285,-0.018,0.829,0.1,0.092,-0.072,0.815,0.025,-0.919,1
-0.507,-0.987,-0.938,0.783,0.552,0.11,-0.127,-0.439,0.111,-0.593,-0.591,-0.41,1
0.638,-0.16,0.169,0.437,0.371,-0.106,-0.234,-0.108,0.96,0.927,-0.539,-0.495,1
0.094,0.455,-0.481,-0.32,0.586,0.205,0.23,0.005,-0.778,-0.962,-0.839,-0.684,-1
